id,lon,lat
103235840,-74.021807,40.884127
103225947,-74.021994,40.883384
42516422,-73.932264,40.64195
42516427,-73.932013,40.639616
42516418,-73.932509,40.644252
103235530,-74.142573,40.9488387
103235525,-74.143464,40.948718
42762376,-73.844794,40.877882
42756156,-73.845749,40.879508
43007594,-74.130497,40.637941
43018713,-74.129612,40.637626
254214079,-73.861801,40.921879
254214081,-73.861286,40.922267
105156161,-74.178142,40.892406
105037609,-74.17382,40.894911
42445950,-73.9714037,40.7635979
596775946,-73.9698766,40.7629524
42811333,-73.8677842,40.7636768
42811336,-73.8670574,40.7640786
42811330,-73.8685169,40.7632735
105054151,-74.188957,40.943333
105054167,-74.189848,40.943099
42810665,-73.74699,40.662401
42832020,-73.747864,40.662729
103237090,-74.046744,40.98761
103187123,-74.04695,40.986962
103874165,-74.160364,40.753363
103885015,-74.161213,40.75349
42832014,-73.747356,40.663484
103134165,-74.074071,40.888658
103232065,-74.074794,40.889088
261390265,-73.7111,40.787504
261390261,-73.711206,40.786476
42910761,-73.7408018,40.6634515
42874754,-73.7404701,40.6641287
261390255,-73.711149,40.788385
42859396,-73.757831,40.663217
42894192,-73.757023,40.662915
103237089,-74.047175,40.986259
103187235,-74.065842,40.892641
103159728,-74.066657,40.893124
42810031,-73.921603,40.557639
42851621,-73.921427,40.558693
452394942,-73.8604518,40.6546668
452394943,-73.8592931,40.6554156
42445947,-73.9718586,40.7629781
596775941,-73.9703295,40.7623299
103186559,-73.956606,40.957511
103180649,-73.959831,40.959785
440205253,-73.982732,40.916494
440205264,-73.983243,40.915397
43009680,-74.152577,40.607489
42953929,-74.152801,40.608167
42811327,-73.8692356,40.7628701
42467266,-73.917419,40.660051
42467262,-73.918294,40.659484
103185901,-74.119313,40.9661
103201020,-74.117679,40.962323
103121452,-74.086598,40.867084
440218755,-74.083577,40.865297
103874501,-74.063085,40.800261
103874493,-74.059952,40.798834
2757013616,-73.8552784,40.7035403
42899857,-73.85407,40.703945
254705594,-73.834691,40.955858
254705592,-73.835076,40.954864
254214165,-73.832412,40.975859
254211255,-73.830983,40.975552
261439521,-73.748905,40.789167
261436071,-73.749649,40.788603
103289959,-74.0175,40.899664
103120907,-74.01873,40.899956
43008944,-74.139622,40.620512
42976680,-74.139889,40.619532
42516987,-73.973696,40.623827
42498710,-73.9727779,40.6239235
42517249,-73.882107,40.681217
42490587,-73.8811554,40.6813559
42958783,-74.140048,40.615657
42958781,-74.139113,40.615518
103726093,-74.1949653,40.7539826
103756488,-74.1944986,40.7533771
261390260,-73.711419,40.789536
261390258,-73.711147,40.789076
42810027,-73.922092,40.557727
291166607,-74.1022047,40.8114134
768581613,-74.1020667,40.8116346
261389641,-73.711042,40.669456
261409415,-73.711922,40.669623
42860478,-73.763844,40.757708
42860474,-73.76475,40.757521
261409413,-73.709013,40.669087
42467259,-73.919089,40.658966
42811364,-73.813074,40.773475
42810137,-73.8138389,40.773532
254144583,-73.790257,40.971829
254795335,-73.792105,40.971579
103187229,-74.0690565,40.8933306
261440320,-73.715174,40.630056
261411204,-73.716073,40.629366
103136556,-74.02358,40.909124
103157721,-74.019832,40.907944
42761504,-73.856721,40.867697
42782915,-73.856663,40.869517
42958779,-74.1383813,40.6154022
42911253,-73.870668,40.721268
42859276,-73.871472,40.720899
42465520,-74.017931,40.637781
42521221,-74.0201014,40.6390876
261440319,-73.713789,40.628936
261411200,-73.71468,40.628257
42763110,-73.899756,40.9056
42733090,-73.900726,40.9054724
42811362,-73.815314,40.773652
103675393,-74.175587,40.736027
103755194,-74.174688,40.735801
42467258,-73.919968,40.658398
103290265,-73.987754,40.840758
103111255,-73.987034,40.840345
42516982,-73.974149,40.626215
42498706,-73.97322,40.626318
42810023,-73.92258,40.557815
42851613,-73.922243,40.558826
42880162,-73.834926,40.712474
2104799209,-73.8357306,40.7114884
1909424063,-74.0107271,40.5770538
1909424172,-74.0108578,40.5776138
42860017,-73.9010551,40.7693062
42874650,-73.9017707,40.769812
455884723,-73.8176661,40.6651633
455884734,-73.8083864,40.6665057
42860470,-73.765655,40.757331
254164533,-73.747029,40.954679
254176763,-73.747337,40.955022
105106010,-74.172196,40.950427
